code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002139,拓邦股份,元器件,深圳,46.71,15873.95,21840,93378.61,62675.98,16273.7,6191.35,0.28,0.221,2.46,5.6,20070629
300386,飞天诚信,软件服务,北京,47.83,2001,9501,145287.66,142659.13,558.37,68669.25,7.23,2.32,13.84,9.18,20140626
300220,金运激光,元器件,湖北,268.08,6527.31,12600,42852.71,31197.74,8801.99,8281.74,0.66,0.077,2.35,11.72,20110525
603011,合锻股份,机床制造,安徽,136.24,4500,17950,83379.46,52911,23112.48,9731.75,0.54,0.112,2.98,6.8,20141107
600781,辅仁药业,中成药,河南,144.24,17759.28,17759.28,109103.63,43952.12,43242.87,10454.42,0.59,0.093,1.66,10.73,19961218
300241,瑞丰光电,半导体,深圳,46.08,14911.87,21846.02,126874.86,72241.43,31347,23242.4,1.06,0.184,2.99,3.78,20110712
002115,三维通信,通信设备,浙江,0,33887.6,41068.8,192229.42,152189.45,17980.1,24693.34,0.6,-0.056,2.14,4.03,20070215
002195,海隆软件,软件服务,上海,320.34,5871.68,34869.3,423445.44,160779.13,18087.77,335168.94,9.61,0.33,11.43,4.04,20071212
300232,洲明科技,半导体,深圳,52.59,12471.34,20273.81,108507.17,68208.31,23678.23,33333.28,1.64,0.206,3.1,4.67,20110622
002688,金河生物,化学制药,内蒙,39.07,10849.66,21784,104269.06,52114.9,44382.95,49801.55,2.29,0.285,4.29,3.46,20120713
002041,登海种业,种植业,山东,55.58,32943.82,35200,319622.44,256575.84,55403.46,6451.68,0.18,0.456,5.06,6.68,20050418
002402,和而泰,元器件,深圳,61.59,12096,16609.09,107291.97,73642.18,23610.53,46365.12,2.79,0.227,5.16,3.61,20100511
300330,华虹计通,软件服务,上海,121.39,11225.7,17007.26,59964.21,48702.9,230.63,20046.17,1.18,0.078,2.59,4.88,20120619
300191,潜能恒信,石油开采,北京,238.73,14882,32000,125733.15,99083.03,17666.68,55003.83,1.72,0.06,3.78,5.02,20110316
002635,安洁科技,电脑设备,江苏,43.92,9182.4,18103,150846.75,111604.67,27353.83,66169.46,3.66,0.495,6.98,4.15,20111125
300308,中际装备,工程机械,山东,459.95,11263.04,21601.08,71818.97,30545.93,12482.07,31816.24,1.47,0.016,2.45,3.97,20120410
000048,康达尔,饲料,深圳,243.6,37985.87,39076.87,177433.88,110789.92,36660.62,4339.83,0.11,0.03,1.06,9.29,19941101
000059,华锦股份,石油加工,辽宁,0,120050.17,159944.25,2850577.5,860474.38,1740964.38,384250.69,2.4,-0.618,5.02,2.01,19970130
300389,艾比森,半导体,深圳,41.01,1547,8008.5,109340,88506.4,4000.55,27724.4,3.46,1.65,8.73,8.59,20140801
300038,梅泰诺,通信设备,北京,77.47,10803.48,16072.94,179709.02,141293.47,13306.62,69851.21,4.35,0.208,6.44,3.33,20100108
603368,柳州医药,医药商业,广西,31.62,2250,11250,332456.06,310699.88,1607.18,8503.6,0.76,1.123,6.45,7.34,20141204
300042,朗科科技,电脑设备,深圳,72.08,7327.91,13360,85280.68,58153.07,5147.64,60245.71,4.51,0.154,6.23,2.37,20100108
300146,汤臣倍健,食品,广东,27.73,32890.05,65801.09,266180.22,198935.75,42195.5,87491.31,1.33,0.727,3.69,7.3,20101215
600513,联环药业,化学制药,江苏,54.44,15210,15670.01,65866.05,43556.84,14693.38,8282.61,0.53,0.218,2.71,5.85,20030319
002394,联发股份,纺织,江苏,16.89,32370,32370,411143.97,239393.22,125444.85,106343.72,3.29,0.538,7.68,1.58,20100423
002458,益生股份,农业综合,山东,0,14182.44,28451.36,171500.05,32538.23,78100.38,42310.73,1.49,-0.093,2.31,5.6,20100810
600276,恒瑞医药,化学制药,江苏,39.39,149624.31,150399.28,862283.69,679811.56,122984.92,47247.48,0.31,0.743,4.99,7.82,20001018
002121,科陆电子,电器仪表,深圳,48.09,26853.17,39955.3,399634.66,260684.77,53932.51,40979.01,1.03,0.214,3.59,3.82,20070306
002714,牧原股份,农业综合,河南,3749.42,6050,24200,389461.28,157508.72,137025.56,73833.74,3.05,0.011,7.73,7.21,20140128
002369,卓翼科技,通信设备,深圳,65.01,35093.6,49198.1,320536.28,195311.86,85871.34,67838.25,1.38,0.117,2.96,3.44,20100316
000158,常山股份,纺织,河北,0,71886.1,71886.1,570354.81,301631.25,122015.11,111758.9,1.55,-0.086,3.31,3.09,20000724
300143,星河生物,种植业,广东,0,10587.91,14740,102588.17,10344.17,49302.43,50813.98,3.45,-0.209,3.86,2.66,20101209
002404,嘉欣丝绸,纺织,浙江,29.11,17652.82,26032.5,192199.77,98442.88,63164.38,58942.01,2.26,0.274,4.8,2.22,20100511
300134,大富科技,通信设备,深圳,23.73,35160,38400,358647.03,175090.02,82237,177358.16,4.62,1.255,6.55,6.06,20101026
300219,鸿利光电,元器件,广东,38.89,14126.01,24627.99,125813.02,69639.7,39890.85,40313.37,1.64,0.223,3.57,3.23,20110518
300366,创意信息,软件服务,四川,103.29,1428.75,5715,40279.76,37337.71,1565.68,10575.21,1.85,0.38,5.68,9.18,20140127
300375,鹏翎股份,汽车配件,天津,28.49,2220,9110.15,112477.38,65215.26,32348.16,29917.25,3.28,1.12,9.72,4.19,20140127
300273,和佳股份,医疗保健,广东,63.74,37004.05,57207.14,221450.42,119566.02,4889.7,18976.31,0.33,0.321,2.05,13.32,20111026
600562,国睿科技,通信设备,江苏,104.19,13229.95,25706.16,128818.5,114205.6,11019.42,2133.63,0.08,0.347,3.21,15.02,20030128
000782,美达股份,化纤,广东,0,40450.87,52813.96,273333.22,145791.56,79960.25,64608.35,1.22,-0.074,2.69,2.65,19970619
