code,name,industry,area,pe,totals,outstanding,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600029,南方航空,空运,广东,37.87,702265,981756.69,18446100,2806800,12902100,1442100,1.47,0.128,3.57,1.81,20030725
000606,青海明胶,化学制药,青海,0,40596.35,47211.35,137468.66,52549.45,50563.3,37488.21,0.79,-0.091,1.85,4.85,19961004
603128,华贸物流,仓储物流,上海,67.92,16000,40000,298533.44,265177.22,10388.12,64253.5,1.61,0.2,3.35,5.4,20120529
002654,万润科技,半导体,深圳,82.68,12078.09,17600,97563.46,49447.5,36615.26,16148.44,0.92,0.23,3.17,5.99,20120217
600165,新日恒力,钢加工,宁夏,0,19395.34,27395.34,255955.2,150306.22,67790.25,69096.2,2.52,-0.024,3.77,3.55,19980529
600188,兖州煤业,煤炭开采,山东,26.1,295998,491840,13761587,4192467.5,2249034,128532.1,0.26,0.397,8.23,1.68,19980701
600132,重庆啤酒,啤酒,重庆,42.16,48397.12,48397.12,453996.94,193328.13,179029.73,0,0,0.33,2.92,6.36,19971030
300235,方直科技,软件服务,深圳,118.17,8879.73,15840,36648.1,25981.77,1902.39,6258.08,0.4,0.152,2.13,11.22,20110629
300096,易联众,软件服务,福建,276.02,29900.63,43000,80462.52,64127.13,10917.48,3419.65,0.08,0.054,1.53,12.88,20100728
600180,瑞茂通,仓储物流,山东,57.02,25850.25,87826.39,710456.38,603627.06,2353.21,7894.31,0.09,0.286,2.34,9.3,19980703
600119,长江投资,仓储物流,上海,167.46,30740,30740,194867.5,90941.21,35881.94,32169.5,1.05,0.104,2.47,9.44,19980115
603899,晨光文具,文教休闲,上海,37.73,6000,46000,162619.81,77385,46316.37,5448.76,0.12,0.594,2.93,10.2,20150127
002439,启明星辰,软件服务,北京,0,26088.46,41512.32,173901.95,113798.21,24114.35,52910.05,1.27,-0.044,3.15,10.09,20100623
603008,喜临门,家居用品,浙江,43.84,19827.18,31500,195569.72,102349.03,38725.7,46672.55,1.48,0.274,3.62,4.43,20120717
600114,东睦股份,机械基件,浙江,49.72,23498.25,37721.55,209110.88,80343.03,89951.02,74212.81,1.97,0.35,3.66,4.44,20040511
002270,法因数控,机床制造,山东,177.57,13945.01,18915,76750.93,39360.03,28647.75,21767.73,1.15,0.1,3.12,5.52,20080905
002191,劲嘉股份,广告包装,深圳,20.36,64200,65665,441960.56,161053.55,126876.82,68216.88,1.04,0.67,5.24,3.42,20071205
600125,铁龙物流,铁路,辽宁,35.66,130552.18,130552.18,667882.13,421661.41,195294.92,15779.55,0.12,0.203,3.53,2.74,19980511
300081,恒信移动,通信设备,河北,0,8467.04,13400,91707.28,68383.03,3810.76,53319.6,3.98,-0.19,5.57,8.31,20100520
